Date;Genre;identifiant;Annee_diplome;Type_formation;Filiere;Situation;Secteur;Nature_contrat;France;Region;Pays;Anciennete;Nom_entreprise;Taille_entreprise;Departement;Intitule_poste;Secteur_activite;Salaire_annuel;Responsabilite_hierarchique;Responsabilite_budget;Responsabilite_equipe;Responsabilite_projet;Satisfaction_globale;Saitisfaction_relations;Satisfaction_salaire;Satisfaction_autonomie;Satisfaction_localisation
14/01/2020 09:56;Homme;1789078741935010;2018;Initiale;MAT;Activite;Privé;CDI;En France;Île-de-France;;13;Bureau Veritas Marine & Offshore;5 000 salarié(e)s ou plus;Etudes - Conseil et expertise (autre qu'informatique);Ingénieur revue conception - Life-Saving Appliances;Sociétés de conseil ou d'ingénieurie, bureaux d'études indépendants;41000;NON;OUI;NON;OUI;4;5;4;4;4
13/01/2020 18:27;Homme;1789083376957100;2018;Initiale;MAT;Activite;Privé;CDD;En France;Nouvelle-Aquitaine;;16;Arianegroup;5 000 salarié(e)s ou plus;Recherche-développement, études scientifiques et techniques (autre qu'informatique);Ingénieur matériaux et procédés ;Industrie automobile, aéronautique, navale, ferroviaire;32000;NON;OUI;NON;OUI;4;;3;3;2
13/01/2020 13:43;Homme;1793841854828630;2018;Initiale;MAT;Activite;Privé;CDI;En France;Auvergne-Rhône-Alpes;;1;Becton Dickinson;5 000 salarié(e)s ou plus;Recherche-développement, études scientifiques et techniques (autre qu'informatique);Ingénieur R&D;Industrie pharmaceutique;38500;NON;NON;NON;NON;4;5;3;4;4
10/01/2020 22:22;Homme;1788640939020030;2018;Initiale;GBA;Activite;Privé;CDI;En France;Pays de la Loire;;18;CYCLE FARMS; Moins de 10 salarié(e)s ;Etudes et développement en systèmes d'information ;Ingénieur Nutrition;Industrie agroalimentaire ;30200;NON;OUI;NON;OUI;4;5;2;3;3
23/01/2020 10:41;Homme;1788460042978250;2018;Initiale;MAT;Activite;Privé;CDI;En France;Auvergne-Rhône-Alpes;;12;Sites;250 à  4 999 salarié(e)s ;Etudes - Conseil et expertise (autre qu'informatique);Ingénieur d'étude/génie civil ;Sociétés de conseil ou d'ingénieurie, bureaux d'études indépendants;;NON;NON;NON;OUI;5;5;5;5;3
16/01/2020 02:36;Homme;1889078477991120;2018;Apprentissage;MSI;Activite;Privé;CDI;En France;Martinique;;16;Foselev ;250 à  4 999 salarié(e)s ;Commercial(e) (dont ingénieur(e) d'affaire) ;Chargé de missions ;Métallurgie et fabrication de produits métalliques à l'exception des machines et des équipements;38230;OUI;OUI;OUI;OUI;3;4;2;4;5
13/01/2020 16:01;Homme;1889138784326700;2018;Initiale;MI;Activite;Privé;CDI;En France;Île-de-France;;8;Safran Engineering Services;250 à  4 999 salarié(e)s ;Recherche-développement, études scientifiques et techniques (autre qu'informatique);Ingénieur études mécaniques;Industrie automobile, aéronautique, navale, ferroviaire;38000;NON;NON;NON;NON;4;5;3;4;3
10/01/2020 22:32;Femme;1776166991066590;2018;Professionalisation;GBA;Activite;Privé;CDI;En France;Auvergne-Rhône-Alpes;;18;Saint jean;250 à  4 999 salarié(e)s ;Qualité, sécurité, sûreté de fonctionnement ;Coordinatrice QSE ;Industrie agroalimentaire ;26000;NON;NON;NON;NON;2;5;2;2;4
10/01/2020 18:12;Homme;1783872056297040;2018;Apprentissage;MSI;Activite;Privé;CDI;En France;Provence-Alpes-Côte d'Azur;;15;2c2i;De 50 à 249 salarié(e)s ;Recherche-développement, études scientifiques et techniques (autre qu'informatique);Ingénieur Calcul ;Métallurgie et fabrication de produits métalliques à l'exception des machines et des équipements;35000;OUI;NON;NON;NON;4;4;4;4;5
22/01/2020 10:49;Homme;1789471850513730;2018;Professionalisation;MAT;Activite;Privé;CDI;En France;Provence-Alpes-Côte d'Azur;;6;SOM INDUSTRIE;5 000 salarié(e)s ou plus;Informatique industrielle et technique ;Ingénieur projet;Sociétés de conseil ou d'ingénieurie, bureaux d'études indépendants;34000;OUI;NON;OUI;OUI;4;5;4;4;2
