Date;identifiant;Genre;Annee_diplome;Type_formation;Filiere;Situation;Secteur;Nature_contrat;France;Region;Pays;Anciennete;Nom_entreprise;Taille_entreprise;Departement;Intitule_poste;Secteur_activite;Salaire_annuel;Responsabilite_hierarchique;Responsabilite_budget;Responsabilite_equipe;Responsabilite_projet;Satisfaction_globale;Saitisfaction_relations;Satisfaction_salaire;Satisfaction_autonomie;Satisfaction_localisation
08/03/2018 17:46;1883678682497930;Homme;2015;Professionalisation;IG;Activite;Prive;CDI;En France;Occitanie;;48;Zendesk;250 à  4 999 salarié(e)s ;Etudes et développement en systèmes d'information ;Senior Software Engineer;Industrie des technologies de l'Information et de la Communication (TIC);60000;NON;NON;NON;NON;;;;;
10/04/2018 20:01;1976106646655870;Homme;2015;Initiale;MAT;These;;;;;;;;;;;;;;;;;;;;;
08/03/2018 20:39;1789078963063880;Homme;2015;Initiale;ENR;Activite;Prive;CDI;En France;Nouvelle-Aquitaine;;30;OTCE Aquitaine;De 20 à 49 salarié(e)s ;Etudes - Conseil et expertise (autre qu'informatique);Ingenieur fluides;Sociétés de conseil, bureaux d'études;27000;NON;NON;NON;OUI;4;5;2;3;
13/03/2018 08:19;1788523044070470;Homme;2015;Initiale;GBA;Activite;Prive;CDI;En France;Auvergne-Rhône-Alpes;;19;LAGRANGE;De 20 à 49 salarié(e)s ;Qualité, sécurité, sûreté de fonctionnement ;Responsable qualité;Autres industries (bois, imprimerie, fabrication, réparation et installation de machines et d'équipements, ...);;NON;NON;NON;OUI;1;4;5;5;5
09/03/2018 09:11;1798760270967010;Homme;2015;;STE;Activite;Prive;CDD;En France;Occitanie;;18;SUEZ Eau France;5 000 salarié(e)s ou plus;Assistance technique;Ingénieur support technique;Production et distribution d'eau assainissement, gestion des déchets et dépollution;37000;NON;NON;NON;NON;4;4;3;3;5
09/03/2018 11:41;1794332520034890;Homme;2015;Apprentissage;EGC;Activite;Prive;CDI;En France;Occitanie;;30;Suez Consulting;250 à  4 999 salarié(e)s ;Etudes - Conseil et expertise (autre qu'informatique);Ingénieur Projet;Production et distribution d'eau assainissement, gestion des déchets et dépollution;35000;NON;OUI;NON;OUI;4;5;3;5;4
03/05/2018 22:54;1788922255091930;Femme;2015;Professionalisation;IG;Activite;Prive;CDI;En France;Auvergne-Rhône-Alpes;;1;Captivea;De 20 à 49 salarié(e)s ;Production - Exploitation ;Chef de projets TMA, projets internes et innovants;Activités informatiques et services d'information (TIC services);39000;NON;NON;NON;OUI;4;5;4;;4
09/03/2018 07:01;1798487315600670;Homme;2015;Apprentissage;SE;Activite;Prive;CDI;En France;Auvergne-Rhône-Alpes;;29;Viveris Technologies;250 à  4 999 salarié(e)s ;Recherche-développement, études scientifiques et techniques (autre qu'informatique);Ingénieur électronique;Activités informatiques et services d'information (TIC services);;NON;OUI;NON;OUI;3;3;3;3;4
14/03/2018 17:36;1767833421273260;Homme;2015;Initiale;MEA;Activite;Prive;CDI;En France;Auvergne-Rhône-Alpes;;30;ARCALE;De 10 à 19 salarié(e)s ;Informatique industrielle et technique ;Ingénieur test et mesure;Industrie automobile, aéronautique, navale, ferroviaire;33100;NON;NON;NON;OUI;4;5;3;3;5
09/03/2018 02:55;1758523254310480;Homme;2015;Initiale;STE;Activite;Prive;Contrat Permanent en Nouvelle-Zelande;A l'étranger;;Nouvelle-Zelande;24;Mott MacDonald;5 000 salarié(e)s ou plus;Etudes - Conseil et expertise (autre qu'informatique);Hydraulic Modeller;Production et distribution d'eau assainissement, gestion des déchets et dépollution;36000;NON;NON;NON;OUI;4;5;4;4;5
14/03/2018 17:25;1889582630559030;Homme;2015;Initiale;STE;Activite;Prive;CDI;A l'étranger;;Suisse;8;Earth Space Technical Ecosystem Entreprises;De 10 à 19 salarié(e)s ;Recherche-développement, études scientifiques et techniques (autre qu'informatique);Water Production Officer;Recherche-développement scientifique;80000;NON;OUI;NON;OUI;5;5;5;5;5
09/03/2018 19:59;1775335303402870;Femme;2015;Initiale;GBA;Activite;Prive;CDI;En France;Provence-Alpes-Côte d'Azur;;5;Distillerie Girard;De 20 à 49 salarié(e)s ;Qualité, sécurité, sûreté de fonctionnement ;Responsable QHSE;Industrie agroalimentaire ;30000;OUI;NON;NON;OUI;4;3;2;4;4
08/03/2018 19:04;1789472455434640;Femme;2015;;ENR;Activite;Prive;CDD;A l'étranger;;Allemagne;6;;De 50 à 249 salarié(e)s ;Assustance technique + Audit + Etudes;Coordinatrice Energie Allemagne;Industrie agroalimentaire ;;NON;OUI;OUI;OUI;5;4;3;5;5
14/03/2018 14:54;1798760315669730;Homme;2015;Initiale;MAT;Activite;Prive;CDI;En France;Île-de-France;;13;MI-GSO ;250 à  4 999 salarié(e)s ;;;Industrie automobile, aéronautique, navale, ferroviaire;33000;NON;NON;NON;NON;2;4;4;2;2
08/03/2018 17:32;1794677431297790;Homme;2015;Apprentissage;MSI;Activite;Prive;CDI;En France;Pays de la Loire;;24;JOSEPH PARIS SA;De 50 à 249 salarié(e)s ;TRAVAUX;Ingénieur Travaux;Métallurgie et fabrication de produits métalliques à l'exception des machines et des équipements;38500;OUI;OUI;OUI;OUI;5;5;4;5;5
17/03/2018 10:06;1789078963103650;Homme;2015;Apprentissage;EGC;Activite;Prive;CDI;En France;Auvergne-Rhône-Alpes;;13;INGEOLE Consulting;De 20 à 49 salarié(e)s ;Etudes - Conseil et expertise (autre qu'informatique);Chargé d'affaires;Sociétés de conseil, bureaux d'études;36400;NON;OUI;NON;OUI;4;5;4;5;4
14/03/2018 14:59;1789078795603350;Homme;2015;Initiale;MAT;Activite;Prive;CDI;En France;Île-de-France;;16;MCA ingénierie;De 50 à 249 salarié(e)s ;Recherche-développement, études scientifiques et techniques (autre qu'informatique);Ingénieur Études Polymères;Sociétés de conseil, bureaux d'études;30000;NON;NON;NON;NON;4;4;2;4;3
10/03/2018 10:21;1794282959000230;Femme;2015;Initiale;ENR;Activite;Prive;CDI;En France;Île-de-France;;31;Greenloc;De 20 à 49 salarié(e)s ;Production - Exploitation ;Ingénieur projet;Énergie (Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné);32000;NON;NON;NON;NON;2;3;0;0;0
08/04/2018 11:22;1783041977841660;Homme;2015;Initiale;MAT;Activite;Prive;CDI;En France;Provence-Alpes-Côte d'Azur;;4;Saint-Gobain CREE;5 000 salarié(e)s ou plus;Recherche-développement, études scientifiques et techniques (autre qu'informatique);Ingénieur R&D;Métallurgie et fabrication de produits métalliques à l'exception des machines et des équipements;43000;NON;OUI;NON;OUI;4;5;4;5;5
17/03/2018 13:29;1883100658193290;Femme;2015;Initiale;GBA;Recherche;;;;;;;;;;;;;;;;;;;;;
08/03/2018 17:34;1775955965531970;Femme;2015;Initiale;STE;Activite;Prive;CDI;En France;Occitanie;;12;Fédération de pêche et protection des milieux aquatiques du Gard;De 10 à 19 salarié(e)s ;Recherche-développement, études scientifiques et techniques (autre qu'informatique);CHARGEE de mission restauration des milieux aquatiques ;Agriculture, sylviculture et pêche ;24000;OUI;OUI;OUI;OUI;4;4;2;5;5
25/03/2018 23:02;1794681015331180;Homme;2015;Apprentissage;MSI;Activite;Prive;CDI;En France;Provence-Alpes-Côte d'Azur;;22;Apave;5 000 salarié(e)s ou plus;Qualité, sécurité, sûreté de fonctionnement ;Ingénieur chargé d'affaires;Métallurgie et fabrication de produits métalliques à l'exception des machines et des équipements;;NON;NON;NON;OUI;5;5;3;4;5
08/03/2018 20:33;1868316584717150;Homme;2015;Apprentissage;IG;Activite;Prive;CDI;En France;Occitanie;;45;Capgemini;250 à  4 999 salarié(e)s ;Développeur;Ingénieur logiciel A;Activités financières et d'assurance;32600;NON;NON;NON;NON;4;5;3;3;5
09/04/2018 21:59;1789078907776820;Femme;2015;Initiale;MAT;Activite;Prive;CDI;En France;Occitanie;;24;UTC Aerospace systems (Ratier Figeac);5 000 salarié(e)s ou plus;Laboratoire Qualité;Ingénieur matériaux composite;Industrie automobile, aéronautique, navale, ferroviaire;37700;NON;NON;OUI;NON;4;4;5;4;3
14/03/2018 15:30;1782462545816030;Femme;2015;Initiale;STE;Activite;Prive;CDD;En France;Provence-Alpes-Côte d'Azur;;14;SCOP CLAIE; Moins de 10 salarié(e)s ;Assistance technique;Technicienne AEP et assainissement;Sociétés de conseil, bureaux d'études;25200;NON;OUI;NON;OUI;1;5;2;5;5
14/03/2018 15:29;1798487226112390;Homme;2015;Initiale;MI;Activite;Prive;CDI;En France;Pays de la Loire;;11;Modis;250 à  4 999 salarié(e)s ;;;Industrie automobile, aéronautique, navale, ferroviaire;30000;;;;;;;;;
08/03/2018 20:09;1788922031480630;Femme;2015;Professionalisation;STE;Activite;Prive;CDI;En France;Auvergne-Rhône-Alpes;;2;Fareva - Excelvision;5 000 salarié(e)s ou plus;Recherche-développement, études scientifiques et techniques (autre qu'informatique);Chargé de projets - Développement Analytique;Industrie pharmaceutique;37063;NON;NON;NON;OUI;5;4;3;4;4
08/03/2018 17:31;1788918836598720;Homme;2015;Initiale;STE;Etudes;;;;;;;;;;;;;;;;;;;;;
14/03/2018 21:06;1782650096505970;Homme;2015;Initiale;MI;Activite;Prive;CDI;En France;Île-de-France;;24;Framatome;5 000 salarié(e)s ou plus;Etudes - Conseil et expertise (autre qu'informatique);Ingénieur mécanique;Énergie (Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné);38500;NON;OUI;NON;OUI;5;5;4;4;2
