Date;Identifiant;Genre;Annee_diplome;Type_formation;Filiere;Situation;Secteur;Nature_contrat;France;Region;Pays;Anciennete;Nom_entreprise;Taille_entreprise;Departement;Intitule_poste;Secteur_activite;Salaire_annuel;Responsabilite_hierarchique;Responsabilite_budget;Responsabilite_equipe;Responsabilite_projet;Satisfaction_globale;Saitisfaction_relations;Satisfaction_salaire;Satisfaction_autonomie;Satisfaction_localisation
09/03/2018 14:17;1882519960739120    ;Homme;2017;Initiale;ENR;Activite;Prive;CDD;France;ile-de-France;;6;Greensolver;20_49;Exploitation / maintenance informatique ;Gestionnaire d'actif;energie (Production et distribution d'electricite, de gaz, de vapeur et d'air conditionne);;NON;OUI;NON;OUI;4;5;2;3;4
08/03/2018 19:38;1889139174554320    ;Femme;2017;Initiale;ENR;Recherche;;;;;;;;;;;;;;;;;;;;;
14/03/2018 15:57;1782851081127970    ;Homme;2017;Apprentissage;MSI;Volontariat;;;;;;;;;;;;;;;;;;;;;
08/03/2018 19:13;1882331879034060    ;Homme;2017;Initiale;ENR;Activite;Prive;CDI;France;ile-de-France;;1;Ingelib;_10;Etudes - Conseil et expertise (autre qu'informatique);Ingenieur projet;Societes de conseil, bureaux d'etudes;35500;NON;OUI;NON;OUI;4;5;4;4;3
30/04/2018 22:16;1798760225386290    ;Homme;2017;Initiale;ENR;Activite;Prive;CDD;France;ile-de-France;;2;Total Solar;50_249;Etudes - Conseil et expertise (autre qu'informatique);Ingenieur de projet;energie (Production et distribution d'electricite, de gaz, de vapeur et d'air conditionne);36000;NON;OUI;NON;OUI;3;3;4;2;2
15/03/2018 10:57;1789139014496940    ;Homme;2017;Initiale;ENR;Recherche;;;;;;;;;;;;;;;;;;;;;
14/03/2018 14:56;1783551800309570    ;Homme;2017;Initiale;ENR;Activite;Prive;CDI;France;Occitanie;;7;VSB energies Nouvelles;50_249;Commercial(e) (dont ingenieur(e) d'affaire) ;Charge d'Affaires;energie (Production et distribution d'electricite, de gaz, de vapeur et d'air conditionne);32000;NON;NON;NON;OUI;4;3;3;5;5
09/03/2018 09:24;1788742523348860    ;Homme;2017;Initiale;IG;Activite;Prive;CDI;France;Occitanie;;6;CGI;5000_;Informatique industrielle et technique ;Consultant SAP;Activites informatiques et services d'information (TIC services);29000;NON;NON;NON;NON;3;3;2;4;4
08/03/2018 17:36;1888636169617940    ;Homme;2017;Initiale;IG;Activite;Prive;CDI;France;Occitanie;;6;Acelys services numeriques;50_249;Informatique industrielle et technique ;Analyste Developpeur;Activites informatiques et services d'information (TIC services);28000;NON;NON;NON;NON;3;5;2;3;5
08/03/2018 18:11;1776170137315530    ;Homme;2017;Initiale;IG;Activite;Prive;CDI;France;ile-de-France;;5;LUCKYCART;20_49;Etudes et developpement en systemes d'information ;DATA ENGINEER;Activites informatiques et services d'information (TIC services);41000;OUI;OUI;NON;OUI;5;4;4;4;4
08/03/2018 23:46;1898486978428020    ;Homme;2017;Initiale;IG;Activite;Prive;CDI;France;Occitanie;;1;PCSOFT;50_249;Qualite, securite, s?rete de fonctionnement ;ingenieur developpeur qualite debutant;Industrie des technologies de l'Information et de la Communication (TIC);30000;NON;NON;NON;NON;4;4;3;4;4
08/03/2018 17:42;1767833231964470    ;Homme;2017;Initiale;IG;Activite;Prive;CDI;France;Occitanie;;8;Aquafadas;50_249;Exploitation / maintenance informatique ;Developpeur Android;edition, audiovisuel et diffusion;32000;NON;NON;NON;NON;3;5;4;4;5
19/03/2018 13:19;1793984795250720    ;Femme;2017;Initiale;IG;Activite;Prive;CDI;France;Occitanie;;7;Backelite;5000_;Ma?trise d'ouvrage ;Chef de projet technique;Activites informatiques et services d'information (TIC services);33350;NON;NON;OUI;OUI;4;5;4;5;3
09/04/2018 19:42;1788578216657640    ;Femme;2017;Initiale;IG;Activite;Prive;CDI;France;Occitanie;;7;CGI;250_4999;Etudes et developpement en systemes d'information ;Developpeur mobile;Activites informatiques et services d'information (TIC services);28880;NON;NON;NON;NON;4;5;3;4;5
08/03/2018 17:57;1782464366155500    ;Femme;2017;Initiale;IG;Activite;Prive;CDI;France;Occitanie;;7;CGI Toulouse;5000_;Etudes et developpement en systemes d'information ;Ingenieur en Technologies de l'Information;Industrie des technologies de l'Information et de la Communication (TIC);30000;NON;NON;NON;NON;4;4;2;4;4
21/03/2018 23:24;1783297984544300    ;Homme;2017;Initiale;IG;Activite;Prive;CDI;France;Occitanie;;9;Sopra Steria;5000_;Etudes et developpement en systemes d'information ;Ingenieur etude et developpement;Activites informatiques et services d'information (TIC services);31500;NON;NON;OUI;OUI;2;4;2;4;5
10/03/2018 15:25;1775503193890190    ;Homme;2017;Initiale;IG;Activite;Prive;CDI;France;Occitanie;;4;Sopra Steria;5000_;Etudes et developpement en systemes d'information ;Ingenieur Etudes et Developpement;Industrie des technologies de l'Information et de la Communication (TIC);30550;NON;NON;NON;NON;4;5;2;3;2
21/03/2018 22:56;1876018957403790    ;Homme;2017;Professionalisation;IG;Activite;Prive;CDI;France;Occitanie;;3;TabMo;20_49;Etudes et developpement en systemes d'information ;Back-end Scala;edition, audiovisuel et diffusion;34000;NON;NON;NON;NON;5;5;4;5;5
08/03/2018 17:48;1798891408458220    ;Homme;2017;Initiale;IG;Activite;Prive;CDI;France;Occitanie;;6;CapGemini FS ;5000_;Exploitation / maintenance informatique ;;Activites informatiques et services d'information (TIC services);31500;OUI;NON;NON;NON;3;5;2;4;4
14/03/2018 16:24;1798487317038550    ;Homme;2017;Initiale;IG;Activite;Prive;CDI;France;Occitanie;;13;CGI;5000_;Exploitation / maintenance informatique ;Ingenieur des Technologies de l'Information;Activites informatiques et services d'information (TIC services);29000;NON;NON;NON;NON;4;5;3;4;5
27/03/2018 21:13;1782714871390490    ;Homme;2017;Professionalisation;IG;Activite;Prive;CDI;France;Auvergne-Rhone-Alpes;;8;Sopra Steria;5000_;Exploitation / maintenance informatique ;Ingenieur d'Etudes et developpement;Activites informatiques et services d'information (TIC services);34100;OUI;NON;OUI;NON;4;5;4;4;4
14/03/2018 21:22;1776621858821210    ;Homme;2017;Initiale;IG;Activite;Prive;CDI;France;Occitanie;;1;Smile;250_4999;Etudes et developpement en systemes d'information ;Ingenieur d'etudes et developpement;Activites informatiques et services d'information (TIC services);29000;NON;NON;NON;NON;3;5;2;2;4
11/03/2018 20:40;1782529422968890    ;Homme;2017;Initiale;IG;Activite;Prive;CDI;France;Hauts-de-France;;8;Sopra Steria Consulting;5000_;Ma?trise d'ouvrage ;Consultant;Activites informatiques et services d'information (TIC services);31550;NON;OUI;OUI;OUI;5;4;2;5;4
